,Unnamed: 0,Date,Permit Number,Status,Permit Type,County,State
5060,4634.0,2016-09-19,B201606897,Final,Residential Pools and Spas,maricopa,AZ
5061,4635.0,2016-09-19,B201606884,Final,Residential Pools and Spas,maricopa,AZ
5062,4636.0,2016-09-19,B201606882,Final,Residential Pools and Spas,maricopa,AZ
5063,4637.0,2016-09-19,B201606877,Final,Residential Pools and Spas,maricopa,AZ
5064,4638.0,2016-09-19,B201606876,Final,Residential Pools and Spas,maricopa,AZ
5065,4639.0,2016-09-19,B201606871,Final,Residential Pools and Spas,maricopa,AZ
5066,4640.0,2016-09-19,B201606870,Final,Residential Pools and Spas,maricopa,AZ
5067,4641.0,2016-09-19,B201606868,Final,Residential Pools and Spas,maricopa,AZ
5068,4642.0,2016-09-16,B201606824,Final,Residential Pools and Spas,maricopa,AZ
5069,4643.0,2016-09-16,B201606821,Issued,Residential Pools and Spas,maricopa,AZ
5070,4644.0,2016-09-15,B201606788,Final,Residential Pools and Spas,maricopa,AZ
5071,4645.0,2016-09-14,B201606753,Final,Residential Pools and Spas,maricopa,AZ
5072,4646.0,2016-09-14,B201606746,Final,Residential Pools and Spas,maricopa,AZ
