"File Date","Record Number","Record Type","Description","Address","Status",
"06/07/1991","BIKPMP910067","Building/Project/Pool/NA","PRIVATE POOL",,,
"05/14/1991","BIKPMP910059","Building/Project/Pool/NA","PRIVATE POOL",,,
"04/26/1991","BIKPMP910045","Building/Project/Pool/NA","PRIVATE POOLS-ROCKLINE POOLS",,,
"04/12/1991","BIKPMP910038","Building/Project/Pool/NA","PRIVATE POOL",,,
"03/14/1991","BIKPMP910031","Building/Project/Pool/NA","PRIVATE POOL",,,
"03/06/1991","BIKPMP910030","Building/Project/Pool/NA","PRIVATE POOL",,,
"03/05/1991","BIKPMP910029","Building/Project/Pool/NA","PRIVATE POOL",,,
"02/25/1991","BIKPMP910024","Building/Project/Pool/NA","PRIVATE POOL-ROSE POOL CO",,,
"02/19/1991","BIKPMP910023","Building/Project/Pool/NA","PRIVATE POOL",,,
"02/13/1991","BIKPMP910022","Building/Project/Pool/NA","PRIVATE POOL - PANACHE POOLS",,,
"01/31/1991","BIKPMP910013","Building/Project/Pool/NA","PRIVATE POOL",,,
"01/30/1991","BIKPMP910012","Building/Project/Pool/NA","PRIVATE POOL",,,
"12/21/1990","BIKPMP900093","Building/Project/Pool/NA","PRIVATE POOL",,,
"12/19/1990","BIKPMP900092","Building/Project/Pool/NA","PRIVATE POOL",,,
"12/18/1990","BIKPMP900087","Building/Project/Pool/NA","PRIVATE POOL",,,
"12/17/1990","BIKPMP900086","Building/Project/Pool/NA","PACIFIC POOLS - PRIVATE POOL",,,
"12/14/1990","BIKPMP900085","Building/Project/Pool/NA","SWAN POOLS PRIVATE POOL",,,
"12/12/1990","BIKPMP900084","Building/Project/Pool/NA","PRIVATE POOL",,,
"12/10/1990","BIKPMP900083","Building/Project/Pool/NA","PRIVATE POOL",,,
"12/10/1990","BIKPMP900082","Building/Project/Pool/NA","PRIVATE POOL",,,
"12/10/1990","BIKPMP900081","Building/Project/Pool/NA","PRIVATE POOLS",,,
"12/06/1990","BIKPMP900080","Building/Project/Pool/NA","PRIVATE POOL",,,
"05/11/1990","BIKPMP900050","Building/Project/Pool/NA","PRIVATE POOL",,,
"03/20/1990","BIKPMP900032","Building/Project/Pool/NA","PRIVATE POOL",,,
