"Date","Record Number","Record Type","Project Name","Address","Status","Short Notes",
"10/13/2020","K202007603","Residential Pool",,"15551 MONTALONE PL, BAKERSFIELD CA","Finaled",,
"10/12/2020","K202007542","Residential Pool",,"1200 GARTNER AV, BAKERSFIELD CA","Issued",,
"10/12/2020","K202007541","Residential Pool",,"2421 JEWETTA AV, BAKERSFIELD CA","Issued",,
"10/09/2020","K202007513","Residential Pool",,"3414 SHAUNA MARIE ST, BAKERSFIELD CA","Issued",,
"10/07/2020","K202007457","Residential Pool",,"17401 ORRICK AV, TEHACHAPI CA","Issued",,
"10/05/2020","K202007359","Residential Pool",,"14533 CITRUS TREE CT, BAKERSFIELD CA","Finaled",,
"10/01/2020","K202007283","Residential Pool",,"9510 VAL DI CHIANA DR, BAKERSFIELD CA","Finaled",,
"09/30/2020","K202007279","Residential Pool",,"3128 DESERT CLOUD AV, ROSAMOND CA United States","Issued",,
"09/30/2020","K202007267","Residential Pool",,"417 RUSSELL AV, TUPMAN CA","Finaled",,
"09/28/2020","K202007192","Residential Pool",,"3703 HALF DOME AV, ROSAMOND CA","Issued",,
"09/24/2020","K202007142","Residential Pool",,"16721 MILLWOOD WY, BAKERSFIELD CA","Finaled",,
"09/23/2020","K202007069","Residential Pool",,"15108 MISTLETOE AV, BAKERSFIELD CA","Finaled",,
"09/22/2020","K202007016","Residential Pool",,"14213 SANTA FE CT, KERN COUNTY CA","Finaled",,
"09/21/2020","K202006951","Residential Pool",,"3628 S STERLING RD, BAKERSFIELD CA","Finaled",,
"09/16/2020","K202006876","Residential Pool",,"16618 NORTHFIELD WY, BAKERSFIELD CA","Finaled",,
"09/16/2020","K202006835","Residential Pool",,"892 EMIGRANT PASS RD, BAKERSFIELD CA","Finaled",,
"09/14/2020","K202006780","Residential Pool",,"30335 HIGHWAY 33, MARICOPA CA","Finaled",,
"09/10/2020","K202006698","Residential Pool","CASCADE POOLS","14714 MISTLETOE AV, BAKERSFIELD CA","Finaled",,
"09/02/2020","K202006450","Residential Pool",,"14710 PIONEER DR, BAKERSFIELD CA","Finaled",,
"09/02/2020","K202006445","Residential Pool",,"9000 CRIPPLE CREEK AV, BAKERSFIELD CA","Finaled",,
"09/01/2020","K202006424","Residential Pool",,"4403 MACADAMIA ST, KERN COUNTY CA","Finaled",,
"09/01/2020","K202006399","Residential Pool","KERN POOLS","15126 FIR CT, BAKERSFIELD CA","Finaled",,
"08/31/2020","K202006375","Residential Pool",,"14824 MISTLETOE AV, BAKERSFIELD CA","Finaled",,
"08/31/2020","K202006346","Residential Pool","BARAJAS","1109 STETSON AV, ROSAMOND CA","Issued",,
"08/28/2020","K202006291","Residential Pool",,"560 MEADOW RISE CT, KERN COUNTY CA","Finaled",,
"08/27/2020","K202006242","Residential Pool",,"15025 MISTLETOE AV, BAKERSFIELD CA","Finaled",,
"08/25/2020","K202006157","Residential Pool",,"4290 COUNTRY CLUB DR, BAKERSFIELD CA","Finaled",,
"08/22/2020","K202006141","Residential Pool",,"8004 RIVER MIST AV, BAKERSFIELD CA","Canceled",,
"08/21/2020","K202006045","Residential Pool",,"15508 GEORGES LETOUR AV, BAKERSFIELD CA","Issued",,
"08/21/2020","K202006037","Residential Pool",,"14908 PLUMERIA CT, BAKERSFIELD CA","Finaled",,
"08/20/2020","K202006026","Residential Pool",,"14739 MISTLETOE AV, BAKERSFIELD CA","Finaled",,
"08/20/2020","K202006021","Residential Pool",,"14626 GLOVER CT, BAKERSFIELD CA","Finaled",,
"08/20/2020","K202006011","Residential Pool",,"15725 AMORE PL, BAKERSFIELD CA","Finaled",,
"08/19/2020","K202006004","Residential Pool",,"3304 JANENE WY, BAKERSFIELD CA","Finaled",,
"08/19/2020","K202005980","Residential Pool",,"16429 SALMON BAY CT, KERN COUNTY CA","Finaled",,
"08/19/2020","K202005976","Residential Pool",,"8125 LANORA AV, BAKERSFIELD CA","Finaled",,
"08/14/2020","K202005857","Residential Pool",,"19488 PADRON CT, BAKERSFIELD CA","Issued",,
"08/13/2020","K202005806","Residential Pool","AMERICAN POOL AND SPA","15641 MARCELLA CT, KERN COUNTY CA","Finaled",,
"08/13/2020","K202005805","Residential Pool",,"17305 FALLING CREEK AV, BAKERSFIELD CA","Finaled",,
"08/13/2020","K202005802","Residential Pool",,"8806 OAK BROOK CT, BAKERSFIELD CA","Finaled",,
"08/10/2020","K202005723","Residential Pool",,"15312 MONTALONE PL, BAKERSFIELD CA","Finaled",,
"08/07/2020","K202005693","Residential Pool",,"2266 DESERT WIND ST, ROSAMOND CA","Issued",,
"08/04/2020","K202005551","Residential Pool",,"11506 LINDALEE LN, BAKERSFIELD CA","Finaled",,
"08/03/2020","K202005528","Residential Pool",,"18421 POPLAR AV, SHAFTER CA","Finaled",,
"08/03/2020","K202005504","Residential Pool",,"2008 TORREY DR, BAKERSFIELD CA","Finaled",,
"07/31/2020","K202005480","Residential Pool",,"3411 WICKLOW CT, BAKERSFIELD CA United States","Finaled",,
"07/31/2020","K202005473","Residential Pool",,"15132 MISTLETOE AV, BAKERSFIELD CA","Finaled",,
"07/31/2020","K202005472","Residential Pool",,"7108 ELIAS AV, BAKERSFIELD CA","Finaled",,
"07/30/2020","K202005435","Residential Pool",,"4264 DRUMMOND AV, RIDGECREST CA","Issued",,
"07/30/2020","K202005425","Residential Pool",,"1 POSO HOLLOW RD, BAKERSFIELD CA","Finaled",,
"07/30/2020","K202005413","Residential Pool",,"15419 CALABRIA CT, KERN COUNTY CA","Finaled",,
"07/29/2020","K202005358","Residential Pool",,"1448 SUPERIOR RD, BAKERSFIELD CA","Issued",,
"07/28/2020","K202005319","Residential Pool",,"11318 LINDALEE LN, BAKERSFIELD CA","Finaled",,
"07/27/2020","K202005329","Residential Pool",,"12554 BRENDA JEAN CT, BAKERSFIELD CA","Finaled",,
"07/27/2020","K202005308","Residential Pool",,"14823 POMEGRANATE AV, BAKERSFIELD CA","Finaled",,
"07/27/2020","K202005270","Residential Pool",,"11924 APRIL ANN AV, BAKERSFIELD CA","Finaled",,
